,measure,value,value,value,value,value,value,value,value,value,value
1,q,100,200,300,400,500,600,700,800,900,1000
2,avg.loss.mu.est.true.oracle,8.76575908788823E-06,2.1251196173579E-06,1.64445229080417E-06,5.48379155000194E-07,3.80118270826077E-07,4.70947813171002E-07,0.000000242,2.23615035668745E-07,1.25492535119149E-07,1.2456845073342E-07
3,avg.loss.mu.est.sample.mean,0.1269319765,0.12552141,0.1230565028,0.1249159852,0.1233174422,0.1235259762,0.1239278487,0.1261379329,0.1250458864,0.1250650194
4,avg.loss.mu.est.EBMLE,0.1234092671,0.1214919282,0.1203684542,0.1219572524,0.1207487011,0.1200649298,0.1208689978,0.1232318741,0.1223679691,0.1223244282
5,avg.loss.mu.est.EBMOM,0.1233412313,0.1214671523,0.120359129,0.1219525821,0.1207448061,0.1200642152,0.1208685129,0.1232311405,0.1223764179,0.1223313889
6,avg.loss.mu.est.JS,0.1238947221,0.1227694151,0.1205624779,0.122374852,0.1208337624,0.1209524368,0.1214579701,0.1236726151,0.1226637243,0.1227018344
7,avg.loss.mu.est.oracle,0.1224988078,0.121194883,0.1202469821,0.1217550768,0.1205224957,0.1200221209,0.1207157683,0.122991581,0.1223401764,0.1221803223
8,avg.loss.mu.est.SURE.G,0.1245093232,0.1219220471,0.121232614,0.1225162784,0.1212980287,0.1205717461,0.1212550918,0.1236180665,0.1229703173,0.1229387015
9,avg.loss.mu.est.SURE.M,0.1250277416,0.1222470079,0.1212970241,0.122616631,0.1213301932,0.1206452353,0.1213222804,0.1236163223,0.1230191498,0.1229730592
10,avg.loss.mu.est.SURE.SG,0.1276274448,0.1257586861,0.1246478533,0.1251942376,0.1235294193,0.1228942785,0.1231672493,0.1260493998,0.125025465,0.1248184399
11,avg.loss.mu.est.SURE.SM,0.1285967443,0.1261352681,0.124572305,0.1255493189,0.1238120689,0.12324706,0.1233404368,0.1262209385,0.125180825,0.1249487065
12,avg.loss.mu.est.gl,0.1232708914,0.1210904336,0.1200883251,0.1218346255,0.1205363124,0.1203152259,0.1207515574,0.1229753591,0.1224986828,0.1225785099
13,avg.loss.mu.est.gl.SURE,0.1231042585,0.121993863,0.120598664,0.1222815205,0.1209722839,0.1208139939,0.1211173378,0.1234901331,0.1229759699,0.1228290131
14,avg.loss.mu.est.gl.dynamic,0.1219240764,0.1205735223,0.1187030756,0.1201204471,0.1188870885,0.1185017715,0.1192197865,0.121261772,0.120409843,0.120342983
15,avg.loss.mu.est.gl.dynamicMin,0.1221116226,0.1205864225,0.1188936901,0.1204950989,0.1190781791,0.1186380615,0.119491986,0.1214376711,0.1206355807,0.1205884866
16,avg.loss.mu.est.gl.dynamicMin2,0.1220465047,0.1205047625,0.1187987091,0.1203696842,0.1190316605,0.1186099477,0.1194163542,0.1213667963,0.1205834636,0.1205069982
17,avg.loss.mu.est.gl.dynamicMin3,0.121986898,0.1205316531,0.1187497223,0.1203045093,0.119023858,0.1185867283,0.1193906608,0.1213239966,0.1205316041,0.1204760003
18,avg.loss.mu.est.SURE.M.Double,0.121515896,0.1202822325,0.1184750648,0.1200723365,0.118744099,0.118396854,0.1191950043,0.1211818557,0.1203481665,0.1203164285
19,avg.loss.mu.est.SURE.G.Double,0.1215159694,0.1202836491,0.1184733393,0.1200716869,0.1187432327,0.1183971057,0.1191945728,0.1211817852,0.1203477652,0.1203161886
20,avg.loss.mu.est.SURE.SG.Double,0.1215159658,0.1202836544,0.1184733422,0.1200716923,0.1187432283,0.1183971052,0.1191945801,0.1211817845,0.1203477634,0.120316188
21,avg.loss.mu.est.SURE.SM.Double,0.1215159102,0.1202822288,0.1184750634,0.1200723474,0.1187441038,0.1183968476,0.119195013,0.1211818562,0.1203481741,0.1203164289
22,avg.loss.mu.est.DPMM,0.1214690159,0.1202750053,0.1184290288,0.1200843334,0.1187270612,0.1184816293,0.1191951746,0.1211890497,0.1203561887,0.1202214127
23,avg.loss.mu.est.DPMM_ng,0.1214844212,0.1202994177,0.1184428452,0.1200838033,0.1187102638,0.1184704407,0.1191967751,0.1211962498,0.1203142298,0.1202239282
24,avg.loss.sigma2d.est.sample.var,0.2510352841,0.2110509219,0.2235284862,0.2155367216,0.2139669385,0.2141540511,0.2154856879,0.2219561063,0.2151184397,0.2237407052
25,avg.loss.sigma2d.est.SURE.M.Double,0.0698779951,0.0647603516,0.0652572593,0.0612845,0.0597706016,0.0589298175,0.0593034018,0.0615234164,0.062241546,0.0632530087
26,avg.loss.sigma2d.est.SURE.G.Double,0.0698781001,0.0647604039,0.0652573,0.0612844405,0.0597706049,0.0589298317,0.0593033402,0.0615233349,0.0622415617,0.0632530521
27,avg.loss.sigma2d.est.SURE.SG.Double,0.0698686943,0.0647494927,0.0652501792,0.0612790602,0.0597670916,0.0589274166,0.0593008486,0.061521611,0.0622386813,0.063251127
28,avg.loss.sigma2d.est.SURE.SM.Double,0.0698683609,0.0647495923,0.0652502817,0.0612791907,0.0597671831,0.058927467,0.0593007307,0.0615216543,0.0622387301,0.0632512901
29,avg.loss.sigma2d.est.DPMM,0.074597304,0.0665271035,0.0675484885,0.0633199131,0.0622422898,0.0614256053,0.0617762126,0.0640174053,0.064301447,0.065324868
30,avg.loss.sigma2d.est.DPMM_ng,0.071487114,0.0704829945,0.0708774817,0.0674691578,0.0668277503,0.0661001357,0.0665901432,0.068785317,0.0695556759,0.0707142029
31,MISE.biv.kde.true,0.1138431757,0.1058982661,0.1004816996,0.098122187,0.0956619922,0.0939629518,0.0922617621,0.0918158517,0.0903466765,0.0903170022
32,MISE.biv.kde.sample.est,0.1461496447,0.144042461,0.1436413373,0.1440196704,0.1435132916,0.1434767381,0.1430221152,0.1435688853,0.1429059189,0.1436239075
33,MISE.biv.kde.EBMLE,0.1448609828,0.1426999569,0.1422850341,0.1426745665,0.1421396221,0.1421078493,0.1416301021,0.142186856,0.1415214323,0.1422388133
34,MISE.biv.kde.EBMOM,0.1448722892,0.1427053541,0.1422857844,0.1426743643,0.142138845,0.1421071327,0.1416291319,0.142185969,0.1415188853,0.1422364236
35,MISE.biv.kde.JS,0.1456373344,0.1435432474,0.143161008,0.1435594695,0.1430404301,0.1430240778,0.1425652237,0.1431236354,0.1424720739,0.1431965312
36,MISE.biv.kde.oracle,0.1447629286,0.1426455638,0.1422200922,0.1426329526,0.1420966159,0.1420690806,0.141613955,0.1421789018,0.141490633,0.1422157884
37,MISE.biv.kde.SURE.G,0.1447189059,0.1426137458,0.14211603,0.1425424284,0.1420057506,0.1419913296,0.1415348177,0.1420832148,0.1413916037,0.1421104187
38,MISE.biv.kde.SURE.M,0.1446343887,0.1425632672,0.1420943191,0.1425206668,0.1419884217,0.1419775667,0.1415223328,0.1420721039,0.1413804062,0.1420963456
39,MISE.biv.kde.SURE.SG,0.1448738709,0.1426911056,0.1422747591,0.142663089,0.1421423726,0.1421140186,0.1416193584,0.1421871192,0.1415162101,0.1422325587
40,MISE.biv.kde.SURE.SM,0.1450903587,0.1429127201,0.1424045562,0.1427989593,0.1422450487,0.1421826754,0.1416841655,0.1422534003,0.1415746085,0.1422796982
41,MISE.biv.kde.gl,0.1449273054,0.1426872049,0.1422440992,0.1426464611,0.1421089532,0.1420858054,0.141586055,0.1421613448,0.1414790403,0.1421967294
42,MISE.biv.kde.gl.SURE,0.1449619099,0.142745942,0.142296249,0.1426563026,0.1421122,0.1420617396,0.1415818136,0.1421463814,0.1414646305,0.1421720154
43,MISE.biv.kde.gl.dynamic,0.1449458477,0.14270516,0.1422739919,0.1426152156,0.142107454,0.1420761914,0.141589853,0.1421417218,0.141483115,0.1422120742
44,MISE.biv.kde.gl.dynamicMin,0.1449291663,0.142728732,0.1423054902,0.1426663399,0.1421552941,0.1421219113,0.1416446424,0.1421832322,0.1415326156,0.1422629882
45,MISE.biv.kde.gl.dynamicMin2,0.144916734,0.1427183426,0.1422812198,0.1426461021,0.1421455884,0.1421087592,0.1416315779,0.1421740147,0.1415230973,0.142249047
46,MISE.biv.kde.gl.dynamicMin3,0.1449156076,0.1427049153,0.142268899,0.1426323057,0.1421360041,0.1421011147,0.1416230239,0.1421655525,0.1415160839,0.1422420947
47,MISE.biv.kde.SURE.G.Double,0.0955181059,0.0856456256,0.0826020615,0.082682163,0.0789334984,0.0779803701,0.0772094043,0.0782478557,0.0776185426,0.0766937255
48,MISE.biv.kde.SURE.M.Double,0.0954953282,0.0856343664,0.0825945044,0.0826766533,0.0789290686,0.0779767532,0.0772063034,0.0782452232,0.0776162312,0.0766914323
49,MISE.biv.kde.SURE.SG.Double,0.0955216066,0.0856466875,0.0826003246,0.0826790248,0.0789297935,0.077977037,0.0772047737,0.0782437176,0.0776121889,0.0766888959
