"","measure","value","value","value","value","value","value","value","value","value","value"
"1","q",100,200,300,400,500,600,700,800,900,1000
"2","avg.loss.mu.est.true.oracle",4.9039756630009e-06,1.25612351860427e-06,6.2243952325718e-07,2.40225403700295e-07,1.92666920414591e-07,1.15245402138552e-07,1.10175431990784e-07,6.45803733577689e-08,5.61935305086561e-08,3.58056455619473e-08
"3","avg.loss.mu.est.sample.mean",0.13607952790112,0.137012416034212,0.155679966630859,0.142880920641519,0.14311306255047,0.140473758266411,0.139662210901153,0.139266617310794,0.143759548620801,0.139387214210188
"4","avg.loss.mu.est.EBMLE",0.466018423958638,0.674127633765699,2.20599111679832,4.7113719372803,1.05172894315452,0.598207784103886,0.966883505510705,0.800878279950092,1.68905121402708,0.895018815088339
"5","avg.loss.mu.est.EBMOM",0.269056770671838,0.412578014121584,0.826278687854697,1.20474048325153,0.531427508129994,0.38802136541567,0.398848128916106,0.51254287907755,0.836960765747186,0.450296525146574
"6","avg.loss.mu.est.JS",0.11992979845479,0.122482247897624,0.142753100844116,0.226243574791463,0.134653332525726,0.120883182217267,0.127604905982973,0.124516472639685,0.160207776386076,0.123916642080237
"7","avg.loss.mu.est.oracle",0.114014795922451,0.123798992306643,0.136906259389331,0.134314938029493,0.131863987021105,0.134608960573908,0.135759969991334,0.133432494793892,0.137335656859597,0.134632246696747
"8","avg.loss.mu.est.SURE.G",0.132375289116112,0.139158618941385,0.168617967658839,0.230560605796941,0.145286899796253,0.14123886297158,0.141695447009854,0.138350287559428,0.150248026345882,0.138481432586678
"9","avg.loss.mu.est.SURE.M",0.125754910206787,0.134372473323604,0.153902437463286,0.140244631679774,0.138633670731711,0.139323904230924,0.140413637409418,0.136726385612992,0.141205360927491,0.13776582956181
"10","avg.loss.mu.est.SURE.SG",0.118601760145966,0.12116568282072,0.13958275586874,0.12367920383659,0.12262463347024,0.120415768180138,0.123790299750867,0.117553745536455,0.121749995780433,0.118343884944448
"11","avg.loss.mu.est.SURE.SM",0.122527548086172,0.12625817115119,0.141234327356067,0.126327610130214,0.125756377879576,0.124159192946034,0.12724017362707,0.119526277854594,0.124119193988196,0.120567009043856
"12","avg.loss.mu.est.gl",0.10013768662978,0.097742052609937,0.115438551688852,0.100279452484298,0.100891667450288,0.0987636105411903,0.100363753864383,0.0964929705400013,0.104258873147888,0.0980637676242114
